s,p,o,weight,model
ex:coin1,ex:issuing_for,ex:issuer3,-0.011,uncertainty_reasoner
ex:coin1,ex:issuing_for,ex:issuer13,0.016,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer7,0.047,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer5,0.047,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer15,0.071,uncertainty_reasoner
ex:coin1,ex:issuer,ex:uncertain,0.095,uncertainty_reasoner
ex:coin1,ex:issuing_for,ex:uncertain,0.2,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer3,0.333,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer5,0.333,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer7,0.333,uncertainty_reasoner
ex:coin1,ex:issuing_for,ex:issuer2,0.4,uncertainty_reasoner
ex:coin1,ex:issuing_for,ex:issuer1,0.4,uncertainty_reasoner
ex:issuer2,ex:domain_knowledge,ex:issuer15,0.5,uncertainty_reasoner
ex:issuer2,ex:domain_knowledge,ex:issuer13,0.5,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer3,0.5,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer13,0.5,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer13,1.0,
ex:coin1,ex:issuing_for,ex:uncertain,1.0,
ex:coin1,ex:issuing_for,ex:issuer2,1.0,
ex:issuer1,ex:domain_knowledge,ex:issuer3,1.0,
ex:issuer2,ex:domain_knowledge,ex:issuer15,1.0,
ex:issuer2,ex:domain_knowledge,ex:issuer13,1.0,
ex:issuer1,ex:domain_knowledge,ex:issuer7,1.0,
ex:issuer1,ex:domain_knowledge,ex:issuer5,1.0,
ex:coin1,ex:issuing_for,ex:issuer1,1.0,
ex:coin1,ex:issuer,ex:issuer3,1.0,
