s,p,o,weight,model
ex:coin1,nmo:hasPortrait,ex:uncertain,0.02,uncertainty_reasoner
ex:coin1,nmo:hasIssuer,ex:uncertain,0.022,uncertainty_reasoner
ex:coin1,nmo:hasIssuer,ex:issuer_5,0.148,uncertainty_reasoner
ex:person_1,ex:hasPossibleIssuers,ex:issuer_5,0.5,uncertainty_reasoner
ex:person_1,ex:hasPossibleIssuers,ex:issuer_3,0.5,uncertainty_reasoner
ex:coin1,nmo:hasIssuer,ex:issuer_3,0.83,uncertainty_reasoner
ex:coin1,nmo:hasPortrait,ex:person_1,0.98,uncertainty_reasoner
ex:issuer_5,ex:inPossibleIssuersOf,ex:person_1,1.0,
ex:person_1,ex:hasPossibleIssuers,ex:issuer_5,1.0,
ex:person_1,ex:hasPossibleIssuers,ex:issuer_3,1.0,
ex:coin1,nmo:hasIssuer,ex:issuer_3,1.0,
ex:coin1,nmo:hasPortrait,ex:person_1,1.0,
ex:coin1,nmo:hasPortrait,ex:uncertain,1.0,
ex:issuer_3,ex:inPossibleIssuersOf,ex:person_1,1.0,
