s,p,o,weight,model
ex:coin3,nmo:hasPortrait,ex:uncertain,0.016,uncertainty_reasoner
ex:coin3,nmo:hasIssuer,ex:uncertain,0.02,uncertainty_reasoner
ex:coin2,nmo:hasIssuer,ex:uncertain,0.042,uncertainty_reasoner
ex:coin1,nmo:hasIssuer,ex:uncertain,0.042,uncertainty_reasoner
ex:coin3,nmo:hasIssuer,ex:issuer_7,0.128,uncertainty_reasoner
ex:coin3,nmo:hasIssuer,ex:issuer_5,0.128,uncertainty_reasoner
ex:coin3,nmo:hasPortrait,ex:person_4,0.153,uncertainty_reasoner
ex:coin1,nmo:hasIssuer,ex:issuer_9,0.166,uncertainty_reasoner
ex:coin2,nmo:hasIssuer,ex:issuer_9,0.167,uncertainty_reasoner
ex:coin2,nmo:hasPortrait,ex:uncertain,0.2,uncertainty_reasoner
ex:coin1,nmo:hasPortrait,ex:uncertain,0.2,uncertainty_reasoner
ex:coin1,nmo:hasIssuer,ex:issuer_3,0.263,uncertainty_reasoner
ex:coin1,nmo:hasIssuer,ex:issuer_7,0.263,uncertainty_reasoner
ex:coin1,nmo:hasIssuer,ex:issuer_5,0.263,uncertainty_reasoner
ex:person_1,ex:hasPossibleIssuers,ex:issuer_7,0.333,uncertainty_reasoner
ex:person_1,ex:hasPossibleIssuers,ex:issuer_5,0.333,uncertainty_reasoner
ex:person_1,ex:hasPossibleIssuers,ex:issuer_3,0.333,uncertainty_reasoner
ex:coin2,nmo:hasIssuer,ex:issuer_5,0.396,uncertainty_reasoner
ex:coin2,nmo:hasIssuer,ex:issuer_3,0.396,uncertainty_reasoner
ex:issuer_5,ex:inPossibleIssuersOf,ex:person_4,0.5,uncertainty_reasoner
ex:issuer_3,ex:inPossibleIssuersOf,ex:person_1,0.5,uncertainty_reasoner
ex:issuer_3,ex:inPossibleIssuersOf,ex:person_4,0.5,uncertainty_reasoner
ex:person_4,ex:hasPossibleIssuers,ex:issuer_5,0.5,uncertainty_reasoner
ex:person_4,ex:hasPossibleIssuers,ex:issuer_3,0.5,uncertainty_reasoner
ex:issuer_5,ex:inPossibleIssuersOf,ex:person_1,0.5,uncertainty_reasoner
ex:coin3,nmo:hasIssuer,ex:issuer_3,0.722,uncertainty_reasoner
ex:coin2,nmo:hasPortrait,ex:person_4,0.8,uncertainty_reasoner
ex:coin1,nmo:hasPortrait,ex:person_1,0.8,uncertainty_reasoner
ex:coin3,nmo:hasPortrait,ex:person_1,0.831,uncertainty_reasoner
ex:person_1,ex:hasPossibleIssuers,ex:issuer_5,1.0,
ex:person_1,ex:hasPossibleIssuers,ex:issuer_7,1.0,
ex:issuer_5,ex:inPossibleIssuersOf,ex:person_4,1.0,
ex:person_1,ex:hasPossibleIssuers,ex:issuer_3,1.0,
ex:coin1,nmo:hasIssuer,ex:issuer_9,1.0,
ex:coin2,nmo:hasPortrait,ex:person_4,1.0,
ex:coin2,nmo:hasIssuer,ex:issuer_9,1.0,
ex:person_4,ex:hasPossibleIssuers,ex:issuer_5,1.0,
ex:person_4,ex:hasPossibleIssuers,ex:issuer_3,1.0,
ex:issuer_7,ex:inPossibleIssuersOf,ex:person_1,1.0,
ex:coin3,nmo:hasIssuer,ex:issuer_3,1.0,
ex:coin3,nmo:hasPortrait,ex:person_1,1.0,
ex:issuer_3,ex:inPossibleIssuersOf,ex:person_1,1.0,
ex:issuer_3,ex:inPossibleIssuersOf,ex:person_4,1.0,
ex:coin1,nmo:hasPortrait,ex:person_1,1.0,
ex:issuer_5,ex:inPossibleIssuersOf,ex:person_1,1.0,
