s,p,o,weight,model,
ex:coin_29041,nmo:hasIssuer,ex:issuer_131,1.0,
ex:coin_29041,nmo:hasIssuer,ex:issuer_154,1.0,
ex:coin_29041,nmo:hasIssuer,ex:uncertain,1.0,
ex:coin_29041,nmo:hasPortrait,ex:person_41,1.0,
ex:coin_29041,nmo:hasPortrait,ex:uncertain,1.0,
ex:person_41,ex:hasPossibleIssuers,ex:issuer_151,1.0,
ex:person_41,ex:hasPossibleIssuers,ex:issuer_152,1.0,
ex:issuer_131,ex:inPossibleIssuersOf,ex:person_31,1.0,
ex:issuer_131,ex:inPossibleIssuersOf,ex:person_42,1.0,
ex:person_31,ex:hasPossibleIssuers,ex:issuer_131,1.0,
ex:person_31,ex:hasPossibleIssuers,ex:issuer_281,1.0,
ex:person_42,ex:hasPossibleIssuers,ex:issuer_131,1.0,
